FIPS,STFIPS,CNTYFIPS,CNTYCODE,STATE,COUNTY,PopDensity,DISTRICTS,HHLHP,Map
20001,20,001,AL,KS,Allen,Densely-Settled Rural,Southeast,0,"Allen County, Kansas - Wikipedia, the free encyclopedia#http://en.wikipedia.org/wiki/Allen_County,_Kansas#"
20003,20,003,AN,KS,Anderson,Rural,Southeast,0,"http://en.wikipedia.org/wiki/Anderson_County,_Kansas#http://en.wikipedia.org/wiki/Anderson_County,_Kansas#"
20005,20,005,AT,KS,Atchison,Densely-Settled Rural,Northeast,0,"http://en.wikipedia.org/wiki/Atchison_County,_Kansas#http://en.wikipedia.org/wiki/Atchison_County,_Kansas#"
20007,20,007,BA,KS,Barber,Frontier,Southwest,0,"http://en.wikipedia.org/wiki/Barber_County,_Kansas#http://en.wikipedia.org/wiki/Barber_County,_Kansas#"
20009,20,009,BT,KS,Barton,Densely-Settled Rural,Northwest,0,"http://en.wikipedia.org/wiki/Barton_County,_Kansas#http://en.wikipedia.org/wiki/Barton_County,_Kansas#"
20011,20,011,BB,KS,Bourbon,Densely-Settled Rural,Southeast,0,"http://en.wikipedia.org/wiki/Bourbon_County,_Kansas#http://en.wikipedia.org/wiki/Bourbon_County,_Kansas#"
20013,20,013,BR,KS,Brown,Rural,Northeast,0,"http://en.wikipedia.org/wiki/Brown_County,_Kansas#http://en.wikipedia.org/wiki/Brown_County,_Kansas#"
20015,20,015,BU,KS,Butler,Semi-Urban,South Central,0,"http://en.wikipedia.org/wiki/Butler_County,_Kansas#http://en.wikipedia.org/wiki/Butler_County,_Kansas#"
20017,20,017,CS,KS,Chase,Frontier,South Central,0,"http://en.wikipedia.org/wiki/Chase_County,_Kansas#http://en.wikipedia.org/wiki/Chase_County,_Kansas#"
20019,20,019,CQ,KS,Chautauqua,Rural,Southeast,0,"http://en.wikipedia.org/wiki/Chautauqua_County,_Kansas#http://en.wikipedia.org/wiki/Chautauqua_County,_Kansas#"
20021,20,021,CK,KS,Cherokee,Densely-Settled Rural,Southeast,0,"http://en.wikipedia.org/wiki/Cherokee_County,_Kansas#http://en.wikipedia.org/wiki/Cherokee_County,_Kansas#"
20023,20,023,CN,KS,Cheyenne,Frontier,Northwest,0,"http://en.wikipedia.org/wiki/Cheyenne_County,_Kansas#http://en.wikipedia.org/wiki/Cheyenne_County,_Kansas#"
20025,20,025,CA,KS,Clark,Frontier,Southwest,0,"http://en.wikipedia.org/wiki/Clark_County,_Kansas#http://en.wikipedia.org/wiki/Clark_County,_Kansas#"
20027,20,027,CY,KS,Clay,Rural,North Central,0,"http://en.wikipedia.org/wiki/Clay_County,_Kansas#http://en.wikipedia.org/wiki/Clay_County,_Kansas#"
20029,20,029,CD,KS,Cloud,Rural,North Central,0,"http://en.wikipedia.org/wiki/Cloud_County,_Kansas#http://en.wikipedia.org/wiki/Cloud_County,_Kansas#"
20031,20,031,CF,KS,Coffey,Rural,Southeast,0,"http://en.wikipedia.org/wiki/Coffey_County,_Kansas#http://en.wikipedia.org/wiki/Coffey_County,_Kansas#"
